SMS_EXECUTIVE started SMS_AD_FOREST_DISCOVERY_MANAGER as thread ID 8044 (0x1F6C).  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.424+480><thread=3488 (0xDA0)>
===========================================================  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.424+480><thread=8044 (0x1F6C)>
Beginning Active Directory Forest Discovery Manager  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.424+480><thread=8044 (0x1F6C)>
Entering function ThreadMain()  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.424+480><thread=8044 (0x1F6C)>
Entering function CActiveDirectoryForestDiscovery::Initialize()  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.424+480><thread=8044 (0x1F6C)>
Component SMS_AD_FOREST_DISCOVERY_MANAGER is marked active.~  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.440+480><thread=8044 (0x1F6C)>
Log verbosity level = 0~  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.440+480><thread=8044 (0x1F6C)>
Entering function CActiveDirectoryForestDiscovery::Process()  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.440+480><thread=8044 (0x1F6C)>
Entering function CActiveDirectoryForestDiscovery::ShouldRun()  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.440+480><thread=8044 (0x1F6C)>
Entering function CActiveDirectoryForestDiscovery::CheckIfRunCountValueChanged()  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.440+480><thread=8044 (0x1F6C)>
Admin requested to run discovery now.  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.440+480><thread=8044 (0x1F6C)>
Entering function ReportForestDiscoverySuccessStatusMessage()  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.580+480><thread=8044 (0x1F6C)>
Raising discovery success status message for forest corp.contoso.com, in which we discovered 1 site(s) and 0 subnet(s).~  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.580+480><thread=8044 (0x1F6C)>
Calling ReportStatus, keys= SMS_AD_FOREST_DISCOVERY_MANAGER, 1073750724, 0~  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.580+480><thread=8044 (0x1F6C)>
STATMSG: ID=8900 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_AD_FOREST_DISCOVERY_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=2772 TID=8044 GMTDATE=Mon Feb 27 03:56:09.592 2023 ISTR0="corp.contoso.com" ISTR1="" ISTR2="" ISTR3="" ISTR4="0" ISTR5="1" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.580+480><thread=8044 (0x1F6C)>
Entering function CActiveDirectoryForestDiscovery::UpdateForestNamesForAllSiteSystems()  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.596+480><thread=8044 (0x1F6C)>
Trying to update forest fqdn for all site systems associated with site CHQ  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.596+480><thread=8044 (0x1F6C)>
Entering function CActiveDirectoryForestDiscovery::UpdateForestNamesForSiteSystems()  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.596+480><thread=8044 (0x1F6C)>
Entering function CActiveDirectoryForestDiscovery::GetForestName()  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.612+480><thread=8044 (0x1F6C)>
~Trying to discover forest name for server CM1.corp.contoso.com.  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.612+480><thread=8044 (0x1F6C)>
Server CM1.corp.contoso.com belongs to forest corp.contoso.com.~  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.627+480><thread=8044 (0x1F6C)>
Finishing Active Directory Forest Discovery Manager thread.  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.705+480><thread=8044 (0x1F6C)>
===========================================================  $$<SMS_AD_FOREST_DISCOVERY_MANAGER><02-26-2023 19:56:09.705+480><thread=8044 (0x1F6C)>
