*******************************************************************************  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.609+480><thread=7644 (0x1DDC)>
CONFIGURATION_MANAGER_UPDATE service is starting...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.609+480><thread=7644 (0x1DDC)>
Microsoft Endpoint Configuration Manager v5.00 (Build 9078)  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.609+480><thread=7644 (0x1DDC)>
Process ID: 2052  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.609+480><thread=7644 (0x1DDC)>
Worker thread ID: 7644  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.609+480><thread=7644 (0x1DDC)>
Inbox source is local on CM1.corp.contoso.com  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.609+480><thread=7644 (0x1DDC)>
Set inbox to C:\Program Files\Microsoft Configuration Manager\inboxes\cmupdate.box  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.609+480><thread=7644 (0x1DDC)>
This running on active site server CM1.corp.contoso.com.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.609+480><thread=7644 (0x1DDC)>
Inbox source is local on CM1.corp.contoso.com  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.609+480><thread=7644 (0x1DDC)>
~Waiting for the inbox manager to create the inboxes, retry in 10 seconds.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:46.624+480><thread=7644 (0x1DDC)>
~Waiting for the inbox manager to create the inboxes, retry in 10 seconds.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:49:56.640+480><thread=7644 (0x1DDC)>
~Waiting for the inbox manager to create the inboxes, retry in 10 seconds.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:50:06.656+480><thread=7644 (0x1DDC)>
~Waiting for the inbox manager to create the inboxes, retry in 10 seconds.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:50:16.656+480><thread=7644 (0x1DDC)>
~Waiting for the inbox manager to create the inboxes, retry in 10 seconds.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:50:26.656+480><thread=7644 (0x1DDC)>
