SMS_EXECUTIVE started SMS_PACKAGE_TRANSFER_MANAGER as thread ID 7120 (0x1BD0).  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:11.465+480><thread=3604 (0xE14)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:11.465+480><thread=7120 (0x1BD0)>
~Created inbox def 57, SMS_PACKAGE_TRANSFER_MANAGER  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:11.480+480><thread=7120 (0x1BD0)>
~Max retry count: 100  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:21.668+480><thread=7120 (0x1BD0)>
~Retry interval: 30  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:21.668+480><thread=7120 (0x1BD0)>
~PullDP retry interval: 20  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:21.668+480><thread=7120 (0x1BD0)>
~PullDP query interval: 60  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:21.668+480><thread=7120 (0x1BD0)>
~PullDP retry count: 30  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:21.668+480><thread=7120 (0x1BD0)>
~PullDP query count: 72  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:21.668+480><thread=7120 (0x1BD0)>
No (more) send requests found to process.~  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:21.683+480><thread=7120 (0x1BD0)>
~Waiting for new/rescheduled send requests, Maximum Sleep Time = 20 minutes  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:53:21.683+480><thread=7120 (0x1BD0)>
PackageXferMgr thread stopped  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:09.615+480><thread=7120 (0x1BD0)>
SMS_EXECUTIVE started SMS_PACKAGE_TRANSFER_MANAGER as thread ID 7272 (0x1C68).  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.392+480><thread=3768 (0xEB8)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.392+480><thread=7272 (0x1C68)>
~Max retry count: 100  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.595+480><thread=7272 (0x1C68)>
~Retry interval: 30  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.595+480><thread=7272 (0x1C68)>
~PullDP retry interval: 20  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.595+480><thread=7272 (0x1C68)>
~PullDP query interval: 60  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.595+480><thread=7272 (0x1C68)>
~PullDP retry count: 30  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.595+480><thread=7272 (0x1C68)>
~PullDP query count: 72  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.595+480><thread=7272 (0x1C68)>
No (more) send requests found to process.~  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.736+480><thread=7272 (0x1C68)>
~Waiting for new/rescheduled send requests, Maximum Sleep Time = 20 minutes  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:27.736+480><thread=7272 (0x1C68)>
PackageXferMgr thread stopped  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:55:48.126+480><thread=7272 (0x1C68)>
SMS_EXECUTIVE started SMS_PACKAGE_TRANSFER_MANAGER as thread ID 7248 (0x1C50).  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:04.955+480><thread=3488 (0xDA0)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:04.971+480><thread=7248 (0x1C50)>
~Max retry count: 100  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:05.127+480><thread=7248 (0x1C50)>
~Retry interval: 30  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:05.127+480><thread=7248 (0x1C50)>
~PullDP retry interval: 20  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:05.127+480><thread=7248 (0x1C50)>
~PullDP query interval: 60  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:05.127+480><thread=7248 (0x1C50)>
~PullDP retry count: 30  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:05.127+480><thread=7248 (0x1C50)>
~PullDP query count: 72  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:05.127+480><thread=7248 (0x1C50)>
No (more) send requests found to process.~  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:05.221+480><thread=7248 (0x1C50)>
~Waiting for new/rescheduled send requests, Maximum Sleep Time = 20 minutes  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:05.221+480><thread=7248 (0x1C50)>
PackageXferMgr thread stopped  $$<SMS_PACKAGE_TRANSFER_MANAGER><02-26-2023 19:56:28.315+480><thread=7248 (0x1C50)>
