SMS_EXECUTIVE started SMS_MESSAGE_PROCESSING_ENGINE as thread ID 6888 (0x1AE8).  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.262+480><thread=3604 (0xE14)>
Initializing Task Execution Manager instance as SMS_MESSAGE_PROCESSING_ENGINE.  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.262+480><thread=6968 (0x1B38)>
Starting component SMS_MESSAGE_PROCESSING_ENGINE~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.262+480><thread=6968 (0x1B38)>
Component SMS_MESSAGE_PROCESSING_ENGINE started successfully.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.262+480><thread=6968 (0x1B38)>
Starting message processor engine with ComponentName SMS_MESSAGE_PROCESSING_ENGINE...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.324+480><thread=6536 (0x1988)>
Verbose logging changed to 0~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.324+480><thread=6536 (0x1988)>
History retention days changed to 1440~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.324+480><thread=6536 (0x1988)>
Purge history interval (minutes) changed to 1440~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.324+480><thread=6536 (0x1988)>
Purged 0 records from history table~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.340+480><thread=6536 (0x1988)>
Subscribing to Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_MESSAGE_PROCESSING_ENGINE, FilterType: ValueChange, WatchSubTree: False~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.340+480><thread=6536 (0x1988)>
Registry Watcher started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.340+480><thread=6536 (0x1988)>
Successfully subscribed listener to registry key.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.340+480><thread=6536 (0x1988)>
Succeed to create inbox definition for inbox Message Processing Engine with definition id 52~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.355+480><thread=6536 (0x1988)>
Waiting for the inbox manager to create the inbox, retry in 10 seconds.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:11.355+480><thread=6536 (0x1988)>
Finished setup inbox with folder C:\Program Files\Microsoft Configuration Manager\inboxes\mpe.box~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.355+480><thread=6536 (0x1988)>
Installed DBMON triggers~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.355+480><thread=6536 (0x1988)>
Subscribed inbox file change~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.355+480><thread=6536 (0x1988)>
Initialize message processor thread started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.355+480><thread=6536 (0x1988)>
Loaded message process setting~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.355+480><thread=6536 (0x1988)>
Loading message handler Microsoft.ConfigurationManager.MessageProcessingEngine.Instant.InstantMessageHandler...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.371+480><thread=6536 (0x1988)>
Loading message handler Microsoft.ConfigurationManager.MessageProcessingEngine.GatewayService.GatewayServiceMessageHandler...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.371+480><thread=6536 (0x1988)>
Loading message handler Microsoft.ConfigurationManager.MessageProcessingEngine.Discovery.DiscoveryMessageHandler...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.387+480><thread=6536 (0x1988)>
Refreshing discovery data store procedures...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.402+480><thread=6536 (0x1988)>
Loading discovery architectures...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.512+480><thread=6536 (0x1988)>
Loading discovery property definitions...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.512+480><thread=6536 (0x1988)>
Getting current site code...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.527+480><thread=6536 (0x1988)>
Starting message processor...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.527+480><thread=6536 (0x1988)>
Message processor started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.527+480><thread=6536 (0x1988)>
Initialize message processor thread stopped~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.527+480><thread=6536 (0x1988)>
Main processing thread for message type GatewayService started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:21.543+480><thread=6536 (0x1988)>
Inbox file handler thread started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:22.590+480><thread=8856 (0x2298)>
Main processing thread for message type Discovery started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:22.621+480><thread=1152 (0x480)>
Main processing thread for message type Instant started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:53:22.668+480><thread=8648 (0x21C8)>
Stop for thread SMS_MESSAGE_PROCESSING_ENGINE has been called or Task Execution Manager thread has shutdown.  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.615+480><thread=6888 (0x1AE8)>
Thread for Task Execution Manager has stopped.  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.615+480><thread=6968 (0x1B38)>
The host's stop has been called, shutting down 1 workers.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=6888 (0x1AE8)>
Inbox file handler thread stopped~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=8856 (0x2298)>
Stopping message processor...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=6888 (0x1AE8)>
Main processing thread for message type Discovery stopped...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=1152 (0x480)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.CloudConnection.Telemetry.TelemetryWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=8856 (0x2298)>
Main processing thread for message type GatewayService stopped...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=6536 (0x1988)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManagement.ApplicationManagement.Wsfb.BusinessAppProcessWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=1152 (0x480)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.CommonWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=6536 (0x1988)>
