SMS_EXECUTIVE started SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT as thread ID 9180 (0x23DC).  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:17.112+480><thread=3488 (0xDA0)>
** Service Thread is starting **~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:17.127+480><thread=9180 (0x23DC)>
Connecting to site server's (\\CM1.corp.contoso.com) registry~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.143+480><thread=9180 (0x23DC)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.143+480><thread=9180 (0x23DC)>
Component setting of ACTIVE was specified in the site control file.~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.174+480><thread=9180 (0x23DC)>
Removing redundant containers and validating them...~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.174+480><thread=9180 (0x23DC)>
INFO: No AD Containers Exclusions property list specified in site control file.~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.174+480><thread=9180 (0x23DC)>
The Run Count value in the site control file is 1.~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.174+480><thread=9180 (0x23DC)>
The Schedule token value in the site control file is 000120000010A000.~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.174+480><thread=9180 (0x23DC)>
Incremental synchronization is enabled.~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.174+480><thread=9180 (0x23DC)>
The Full Synchronization Schedule token value in the site control file is 0001170000100038.~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.174+480><thread=9180 (0x23DC)>
Filtering Last Logon Timestamp is enabled.~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.174+480><thread=9180 (0x23DC)>
