SMS_EXECUTIVE started SMS_AD_SYSTEM_DISCOVERY_AGENT as thread ID 9348 (0x2484).  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:24.221+480><thread=3488 (0xDA0)>
** Service Thread is starting **~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:24.221+480><thread=9348 (0x2484)>
Connecting to site server's (\\CM1.corp.contoso.com) registry~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.221+480><thread=9348 (0x2484)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.221+480><thread=9348 (0x2484)>
Component setting of ACTIVE was specified in the site control file.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
Removing redundant containers and validating them...~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
INFO: No AD Containers Exclusions property list specified in site control file.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
The Run Count value in the site control file is 1.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
The Schedule token value in the site control file is 000120000010A000.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
Incremental synchronization is enabled.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
The Full Synchronization Schedule token value in the site control file is 0001170000100038.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
Filtering Last Logon Timestamp is enabled.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
Days of Logon Timestamp is 90.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
Filtering Last Password Set is enabled.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
Days of Last Password Set is 90.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
Optional attributes count = 1  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
!!!!Valid Search Scope Name: LDAP://DC=corp,DC=contoso,DC=com     Search Path: LDAP://DC=CORP,DC=CONTOSO,DC=COM     IsValidPath: TRUE  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
Starting the data discovery.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
Connecting to site server's (\\CM1.corp.contoso.com) registry~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.252+480><thread=9348 (0x2484)>
INFO: Succeed to clean up meta data in DB.  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.268+480><thread=9348 (0x2484)>
INFO: -------- Starting to process search scope (LDAP://DC=corp,DC=contoso,DC=com) --------  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.268+480><thread=9348 (0x2484)>
INFO: Processing search path: 'LDAP://DC=CORP,DC=CONTOSO,DC=COM'.~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.268+480><thread=9348 (0x2484)>
INFO: Impersonating user [CORP\LabAdmin] to discover objects.  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.284+480><thread=9348 (0x2484)>
INFO: Full synchronization requested~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.284+480><thread=9348 (0x2484)>
INFO: New DC DNS name = 'DC1.corp.contoso.com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.315+480><thread=9348 (0x2484)>
INFO: New highest committed USN = '16791'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.315+480><thread=9348 (0x2484)>
INFO: New service object invocation Id = '59983c722300e14cb55136adef85e728'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.315+480><thread=9348 (0x2484)>
INFO: Search provider = 'LDAP'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.315+480><thread=9348 (0x2484)>
