SMS_EXECUTIVE started SMS_AI_KB_MANAGER as thread ID 584 (0x248).  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.490+480><thread=2084 (0x824)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.490+480><thread=584 (0x248)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.490+480><thread=584 (0x248)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.490+480><thread=584 (0x248)>
component runtime value is not found in database. (SMS_AI_KB_MANAGER)(1)(<NULL>)  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.506+480><thread=584 (0x248)>
~Successfully set SMSDBMON trigger for SiteNotification  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.506+480><thread=584 (0x248)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.506+480><thread=584 (0x248)>
~Updated inbox def 25, Asset Intelligence KB Manager  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.506+480><thread=584 (0x248)>
~Created inbox def 38, Asset Intelligence KB Retry  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.506+480><thread=584 (0x248)>
~WaitForEvent.~  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.521+480><thread=584 (0x248)>
~Cannot set up directory change notification on C:\Program Files\Microsoft Configuration Manager\inboxes\aikbmgr.box  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:01.521+480><thread=584 (0x248)>
Exiting SMS_AI_KB_MANAGER Thread...  $$<SMS_AI_KB_MANAGER><02-26-2023 19:52:54.287+480><thread=584 (0x248)>
SMS_EXECUTIVE started SMS_AI_KB_MANAGER as thread ID 7148 (0x1BEC).  $$<SMS_AI_KB_MANAGER><02-26-2023 19:53:10.543+480><thread=3604 (0xE14)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:53:10.558+480><thread=7148 (0x1BEC)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:53:10.558+480><thread=7148 (0x1BEC)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:53:10.558+480><thread=7148 (0x1BEC)>
component runtime value is not found in database. (SMS_AI_KB_MANAGER)(1)(<NULL>)  $$<SMS_AI_KB_MANAGER><02-26-2023 19:53:10.558+480><thread=7148 (0x1BEC)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:53:10.558+480><thread=7148 (0x1BEC)>
~Updated inbox def 25, Asset Intelligence KB Manager  $$<SMS_AI_KB_MANAGER><02-26-2023 19:53:10.574+480><thread=7148 (0x1BEC)>
~WaitForEvent.~  $$<SMS_AI_KB_MANAGER><02-26-2023 19:53:10.574+480><thread=7148 (0x1BEC)>
~Cannot set up directory change notification on C:\Program Files\Microsoft Configuration Manager\inboxes\aikbmgr.box  $$<SMS_AI_KB_MANAGER><02-26-2023 19:53:10.574+480><thread=7148 (0x1BEC)>
Exiting SMS_AI_KB_MANAGER Thread...  $$<SMS_AI_KB_MANAGER><02-26-2023 19:55:09.615+480><thread=7148 (0x1BEC)>
SMS_EXECUTIVE started SMS_AI_KB_MANAGER as thread ID 7064 (0x1B98).  $$<SMS_AI_KB_MANAGER><02-26-2023 19:55:25.954+480><thread=3768 (0xEB8)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:55:25.954+480><thread=7064 (0x1B98)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:55:25.954+480><thread=7064 (0x1B98)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:55:25.954+480><thread=7064 (0x1B98)>
component runtime value is not found in database. (SMS_AI_KB_MANAGER)(1)(<NULL>)  $$<SMS_AI_KB_MANAGER><02-26-2023 19:55:25.970+480><thread=7064 (0x1B98)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:55:25.970+480><thread=7064 (0x1B98)>
