SMS_EXECUTIVE started SMS_COMPONENT_MONITOR as thread ID 2940 (0xB7C).  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=3604 (0xE14)>
************ SERVICE THREAD IS STARTING ************~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_AI_KB_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_ALERT_NOTIFICATION' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_AZUREAD_DISCOVERY_AGENT' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_BUSINESS_APP_PROCESS_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_CERTIFICATE_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_CLIENT_CONFIG_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_CLIENT_HEALTH' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_CLOUDCONNECTION' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_CLOUD_SERVICES_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_CLOUD_USERSYNC' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.808+480><thread=2940 (0xB7C)>
Added component 'SMS_COLLECTION_EVALUATOR' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.824+480><thread=2940 (0xB7C)>
Added component 'SMS_COMPONENT_MONITOR' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.824+480><thread=2940 (0xB7C)>
Added component 'SMS_COMPONENT_STATUS_SUMMARIZER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.824+480><thread=2940 (0xB7C)>
Added component 'SMS_DATABASE_NOTIFICATION_MONITOR' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.824+480><thread=2940 (0xB7C)>
Added component 'SMS_DESPOOLER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.824+480><thread=2940 (0xB7C)>
Added component 'SMS_DISCOVERY_DATA_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.824+480><thread=2940 (0xB7C)>
