SMS_EXECUTIVE started SMS_COMPONENT_STATUS_SUMMARIZER as thread ID 1188 (0x4A4).  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:10.840+480><thread=3604 (0xE14)>
********************************************************************************  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:10.840+480><thread=1188 (0x4A4)>
Info>: Scanning the INSTALL.MAP to get component startup types  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:10.840+480><thread=1188 (0x4A4)>
SMS_COMPONENT_STATUS_SUMMARIZER started...  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.058+480><thread=1188 (0x4A4)>
Microsoft Endpoint Configuration Manager v5.00 (Build 9078)  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.058+480><thread=1188 (0x4A4)>
Copyright (C) 2011 Microsoft Corp.  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.058+480><thread=1188 (0x4A4)>
---->: Process ID: 2944  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.058+480><thread=1188 (0x4A4)>
---->: Worker thread ID: 1188  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.058+480><thread=1188 (0x4A4)>
Info>: Processing a site control file change. Updating summarizer properties if needed.  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.058+480><thread=1188 (0x4A4)>
---->: Reading initial configuration from the registry  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.058+480><thread=1188 (0x4A4)>
---->: Getting configuration from site control file  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.058+480><thread=1188 (0x4A4)>
---->: The new summarizer properties are:  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
---->: Run continuously?  0)No, 1)Yes: 1  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
---->: Replication Priority:           2  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
---->: Status Message Queue Inbox:     Component Status Summarizer  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
---->: Status Message Queue Length:    10000  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
---->: Status Message Queue Age:       60  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
---->: Wakeup Timer Schedule           0001128000100100  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
Inbox source is local on CM1.corp.contoso.com  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
---->: Opened a change notification handle for the "Site Control Manager (Master Site Control File)" inbox.  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
---->: Initializing the Inbox: inboxes\CompSumm.Box.  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
---->: The Component Status Summarizer inbox hasn't been created by SMS_INBOX_MANAGER yet.  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:53:11.074+480><thread=1188 (0x4A4)>
