SMS_EXECUTIVE started SMS_DMP_DOWNLOADER as thread ID 3564 (0xDEC).  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.902+480><thread=3604 (0xE14)>
~SMS_DMP_DOWNLOADER is starting...  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.907+480><thread=3564 (0xDEC)>
Connecting to MessageDownloader.  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.907+480><thread=3564 (0xDEC)>
Logging level set to: 1~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.914+480><thread=3564 (0xDEC)>
LogMessages is set to: False~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.958+480><thread=3564 (0xDEC)>
MaxAcknowledgeRetryCount is set to: 3~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.959+480><thread=3564 (0xDEC)>
AcknowledgeRetrySleepTime is set to: 5~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.960+480><thread=3564 (0xDEC)>
WARNING: Unable to open registry key 'SOFTWARE\Microsoft\SMS\MPFDM\Inboxes\'.~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.963+480><thread=3564 (0xDEC)>
ERROR: Could not read MPFDM inbox for state message State System (Incoming - high priority)~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.965+480><thread=3564 (0xDEC)>
Failed to call Initialize. error = [error code: -2147467261, error message: Invalid pointer].~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.966+480><thread=3564 (0xDEC)>
SMS_DMP_DOWNLOADER is exiting...  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:54:07.966+480><thread=3564 (0xDEC)>
SMS_EXECUTIVE started SMS_DMP_DOWNLOADER as thread ID 4656 (0x1230).  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.548+480><thread=3768 (0xEB8)>
~SMS_DMP_DOWNLOADER is starting...  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.564+480><thread=4656 (0x1230)>
Connecting to MessageDownloader.  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.564+480><thread=4656 (0x1230)>
Logging level set to: 1~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.751+480><thread=4656 (0x1230)>
LogMessages is set to: False~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.814+480><thread=4656 (0x1230)>
MaxAcknowledgeRetryCount is set to: 3~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.814+480><thread=4656 (0x1230)>
AcknowledgeRetrySleepTime is set to: 5~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.814+480><thread=4656 (0x1230)>
WARNING: Unable to open registry key 'SOFTWARE\Microsoft\SMS\MPFDM\Inboxes\'.~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.814+480><thread=4656 (0x1230)>
ERROR: Could not read MPFDM inbox for state message State System (Incoming - high priority)~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.814+480><thread=4656 (0x1230)>
Failed to call Initialize. error = [error code: -2147467261, error message: Invalid pointer].~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.814+480><thread=4656 (0x1230)>
SMS_DMP_DOWNLOADER is exiting...  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:26.814+480><thread=4656 (0x1230)>
SMS_EXECUTIVE started SMS_DMP_DOWNLOADER as thread ID 8132 (0x1FC4).  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.845+480><thread=3768 (0xEB8)>
~SMS_DMP_DOWNLOADER is starting...  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.845+480><thread=8132 (0x1FC4)>
Connecting to MessageDownloader.  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.861+480><thread=8132 (0x1FC4)>
Logging level set to: 1~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.861+480><thread=8132 (0x1FC4)>
LogMessages is set to: False~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.861+480><thread=8132 (0x1FC4)>
MaxAcknowledgeRetryCount is set to: 3~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.861+480><thread=8132 (0x1FC4)>
AcknowledgeRetrySleepTime is set to: 5~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.861+480><thread=8132 (0x1FC4)>
WARNING: Unable to open registry key 'SOFTWARE\Microsoft\SMS\MPFDM\Inboxes\'.~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.861+480><thread=8132 (0x1FC4)>
ERROR: Could not read MPFDM inbox for state message State System (Incoming - high priority)~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.861+480><thread=8132 (0x1FC4)>
Failed to call Initialize. error = [error code: -2147467261, error message: Invalid pointer].~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.861+480><thread=8132 (0x1FC4)>
SMS_DMP_DOWNLOADER is exiting...  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:55:31.861+480><thread=8132 (0x1FC4)>
SMS_EXECUTIVE started SMS_DMP_DOWNLOADER as thread ID 5368 (0x14F8).  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.112+480><thread=3488 (0xDA0)>
~SMS_DMP_DOWNLOADER is starting...  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.112+480><thread=5368 (0x14F8)>
Connecting to MessageDownloader.  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.112+480><thread=5368 (0x14F8)>
Logging level set to: 1~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.252+480><thread=5368 (0x14F8)>
LogMessages is set to: False~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.299+480><thread=5368 (0x14F8)>
MaxAcknowledgeRetryCount is set to: 3~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.299+480><thread=5368 (0x14F8)>
AcknowledgeRetrySleepTime is set to: 5~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.299+480><thread=5368 (0x14F8)>
WARNING: Unable to open registry key 'SOFTWARE\Microsoft\SMS\MPFDM\Inboxes\'.~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.299+480><thread=5368 (0x14F8)>
ERROR: Could not read MPFDM inbox for state message State System (Incoming - high priority)~~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.299+480><thread=5368 (0x14F8)>
Failed to call Initialize. error = [error code: -2147467261, error message: Invalid pointer].~  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.299+480><thread=5368 (0x14F8)>
SMS_DMP_DOWNLOADER is exiting...  $$<SMS_DMP_DOWNLOADER><02-26-2023 19:56:04.299+480><thread=5368 (0x14F8)>
