*******************************************************************************  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.452+480><thread=2808 (0xAF8)>
SMS_SITE_COMPONENT_MANAGER service is starting...  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.452+480><thread=2808 (0xAF8)>
Microsoft Endpoint Configuration Manager v5.00 (Build 9078)  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.452+480><thread=2808 (0xAF8)>
Copyright (C) 2011 Microsoft Corp.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.452+480><thread=2808 (0xAF8)>
Running as a Win32 service.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.452+480><thread=2808 (0xAF8)>
Process ID: 7888  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.452+480><thread=2808 (0xAF8)>
Worker thread ID: 2808  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.452+480><thread=2808 (0xAF8)>
Successfully verified registry settings.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.484+480><thread=2808 (0xAF8)>
This running on active site server CM1.corp.contoso.com.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.499+480><thread=2808 (0xAF8)>
Initializing the status message reporting system...  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.499+480><thread=2808 (0xAF8)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.499+480><thread=2808 (0xAF8)>
    The path to the "Status Manager" inbox is "C:\Program Files\Microsoft Configuration Manager\inboxes\statmgr.box\statmsgs".  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.499+480><thread=2808 (0xAF8)>
    SMS_STATUS_MANAGER is not running as part of this process, the SMS_EXECUTIVE to SMS_STATUS_MANAGER in-memory status message queue will not be used.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:44.499+480><thread=2808 (0xAF8)>
Registered this process as a source of "SMS Server" events.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:46.187+480><thread=2808 (0xAF8)>
Registered this process as a source of "SMS Client" events.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:46.202+480><thread=2808 (0xAF8)>
Registered this process as a source of "SMS Provider" events.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:46.218+480><thread=2808 (0xAF8)>
Status message reporting system initialized successfully.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:46.218+480><thread=2808 (0xAF8)>
