SMS_EXECUTIVE started SMS_SITE_SYSTEM_STATUS_SUMMARIZER as thread ID 7292 (0x1C7C).  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.683+480><thread=3604 (0xE14)>
********************************************************************************  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.699+480><thread=7292 (0x1C7C)>
SMS_SITE_SYSTEM_STATUS_SUMMARIZER started...  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.699+480><thread=7292 (0x1C7C)>
Microsoft Endpoint Configuration Manager v5.00 (Build 9078)  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.699+480><thread=7292 (0x1C7C)>
Copyright (C) 2011 Microsoft Corp.  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.699+480><thread=7292 (0x1C7C)>
---->: Process ID: 2944  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.699+480><thread=7292 (0x1C7C)>
---->: Worker thread ID: 7292  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.699+480><thread=7292 (0x1C7C)>
Info>: Processing a site control file change. Updating summarizer properties if needed.  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.699+480><thread=7292 (0x1C7C)>
---->: Reading initial configuration from the registry  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.699+480><thread=7292 (0x1C7C)>
---->: Getting configuration from site control file  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.699+480><thread=7292 (0x1C7C)>
---->: The SCF already changed within the last 60 seconds. Waiting 0 seconds first.  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
Info>: Site System Resouces have not changed in the SCF since it was last updated.  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: The new summarizer properties are:  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: Run continuously?  0)No, 1)Yes: 1  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: Replication Priority:           2  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: Status Message Queue Inbox:     Site System Status Summarizer  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: Status Message Queue Length:    0  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: Status Message Queue Age:       0  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: Wakeup Timer Schedule           0001128000500100  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
Inbox source is local on CM1.corp.contoso.com  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: Opened a change notification handle for the "Site Control Manager (Master Site Control File)" inbox.  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: Initializing the Inbox: inboxes\SiteStat.Box.  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: The Site System Status Summarizer inbox hasn't been created by SMS_INBOX_MANAGER yet.  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.730+480><thread=7292 (0x1C7C)>
---->: Sleeping for 60 seconds...  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:53:11.746+480><thread=7292 (0x1C7C)>
---->: Path to Site System Status Summarizer inbox: C:\Program Files\Microsoft Configuration Manager\inboxes\sitestat.box  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:54:11.750+480><thread=7292 (0x1C7C)>
---->: Opened a Inbox change notification handle for the C:\Program Files\Microsoft Configuration Manager\inboxes\sitestat.box directory.  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:54:11.753+480><thread=7292 (0x1C7C)>
---->: SQL Server Version for SMS ACCESS is 14.0.100  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:54:11.821+480><thread=7292 (0x1C7C)>
---->: Major SQL Version for connection "SMS ACCESS" is 14  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:54:11.822+480><thread=7292 (0x1C7C)>
---->: Updating the site system objects list.  $$<SMS_SITE_SYSTEM_STATUS_SUMMARIZER><02-26-2023 19:54:11.824+480><thread=7292 (0x1C7C)>
