SMS_EXECUTIVE started SMS_DATABASE_NOTIFICATION_MONITOR as thread ID 4244 (0x1094).  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:42.222+480><thread=2084 (0x824)>
ThreadMain (SMS_DATABASE_NOTIFICATION_MONITOR) ...  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:42.238+480><thread=4244 (0x1094)>
************ SERVICE THREAD IS STARTING ************~  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.254+480><thread=4244 (0x1094)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.255 2023 ISTR0="SMS_DATABASE_NOTIFICATION_MONITOR" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.254+480><thread=4244 (0x1094)>
The current directory is C:\Program Files\Microsoft Configuration Manager\bin\x64  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.254+480><thread=4244 (0x1094)>
Created default trigger definition [DiscProps_Add_SMSProv] in registry  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.269+480><thread=4244 (0x1094)>
Created default trigger definition [RBAC_Admins_ins_del_SMSProv] in registry  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.269+480><thread=4244 (0x1094)>
Created default trigger definition [GroupMap_Add_SMSProv] in registry  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.269+480><thread=4244 (0x1094)>
Created default trigger definition [SMS_Collection_ins_upd_SMSProv] in registry  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.285+480><thread=4244 (0x1094)>
Created default trigger definition [SMS_Collection_del_SMSProv] in registry  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.285+480><thread=4244 (0x1094)>
Created default trigger definition [SMS_Package_ins_upd_SMSProv] in registry  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.285+480><thread=4244 (0x1094)>
