********************************************************************************  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
Starting SMS_EXECUTIVE...  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
Microsoft Endpoint Configuration Manager v5.00 (Build 9078)  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
Copyright (C) 2011 Microsoft Corp.  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
Running as a Win32 service.  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
Process ID: 1520  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
Worker thread ID: 2084  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
Unable to find an existing certificate in the store.  Creating a new self-signed certificate...  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
Successfully created the certificate  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.032+480><thread=2084 (0x824)>
updating site system encryption certificate  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.032+480><thread=2084 (0x824)>
Initialize COM Security.  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.032+480><thread=2084 (0x824)>
InitializeCOMSecurity: RegOpenKeyEx for appid key Succeeded.  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
InitializeCOMSecurity: RegQueryInfoKey for appid key Succeeded.  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
InitializeCOMSecurity: RegQueryValueEx for AccessPermission Succeeded.  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
InitializeCOMSecurity: IsValidSecurityDescriptor() Succeeded.  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
InitializeCOMSecurity: MakeAbsoluteSD() Succeeded.  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
InitializeCOMSecurity: CoInitializeEx() Succeeded.  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
InitializeCOMSecurity() Succeeded.~  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
Installation directory: C:\Program Files\Microsoft Configuration Manager  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
This server: CM1.CORP.CONTOSO.COM  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
Active Site server: CM1.corp.contoso.com  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
Site code: CHQ  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
Site type: 1  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
CSMSExecService::RegisterDBConnection: Register a DB connection...  $$<SMS_EXECUTIVE><02-26-2023 19:50:33.047+480><thread=2084 (0x824)>
